hmid,match_id,entertainment,wid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,id,text
27683,39,video,7334,24h,I came in 3rd place in my Call of Duty video game.,I came in 3rd place in my Call of Duty video game.,TRUE,1,NA,leisure,11,called duty video game
27685,1,movie,21,24h,went to movies with my friends it was fun,went to movies with my friends it was fun,TRUE,1,NA,bonding,13,movie friend fun
27687,61,song,586,24h,"Hearing Songs It can be nearly impossible to go from angry to happy, so youare just looking for the thought that eases you out of your angry feeling and moves you in the direction of happiness. It may take a while, but as long as youare headed in a more positive direction youall be doing yourself a world of good.","Hearing Songs It can be nearly impossible to go from angry to happy, so you're just looking for the thought that eases you out of your angry feeling and moves you in the direction of happiness. It may take a while, but as long as you're headed in a more positive direction youall be doing yourself a world of good.",FALSE,2,NA,enjoy_the_moment,15,hear song impossible angry youre ease angry feel moved direction happiness youre head positive direction youall world
27700,61,song,1783,24h,My co-woker started playing a Carley Rae Jepsen song from her phone while ringing out customers.,My co-woker started playing a Carley Rae Jepsen song from her phone while ringing out customers.,TRUE,1,NA,leisure,28,cowoker started played carley rae jepsen song phone ring customer
27703,1,movie,794,24h,I went to the movies with my sister today for the first time since a long time.,I went to the movies with my sister today for the first time since a long time.,TRUE,1,NA,affection,31,movie sister time time
27726,2,tv,383,24h,I bought a new TV,I bought a new TV,TRUE,1,achievement,achievement,54,bought tv
27733,1,movie,257,24h,my partner buy a big cake for me its very nice and tasty .i never expect the cake from my partner he really loves me lot .the cake is very delicious and very cold .the taste was very different compared to other cake .the day was went very interesting and i spent most of the time with my partner .we went to movie and we had a fun .i really miss my partner and after that most of the day i love to spent with him.,my partner buy a big cake for me its very nice and tasty .i never expect the cake from my partner he really loves me lot .the cake is very delicious and very cold .the taste was very different compared to other cake .the day was went very interesting and i spent most of the time with my partner .we went to movie and we had a fun .i really miss my partner and after that most of the day i love to spent with him.,TRUE,1,NA,affection,61,partner buy cake nice tasty expected cake partner love cake delicious cold tasted compared cake day spent time partner movie fun missed partner day love spent
27744,112,comedy,491,24h,"Long ago, men went to sea, and women waited for them, standing on the edge of the water, scanning the horizon for the tiny ship. Now I wait for Henry. He vanishes unwillingly, without warning. I wait for him. Each moment that I wait feels like a year, an eternity. My husband is comedy man and that moment is happy mood.My baby born   in this moment.","Long ago, men went to sea, and women waited for them, standing on the edge of the water, scanning the horizon for the tiny ship. Now I wait for Henry. He vanishes unwillingly, without warning. I wait for him. Each moment that I wait feels like a year, an eternity. My husband is comedy man and that moment is happy mood.My baby born   in this moment.",TRUE,6,NA,affection,72,sea women waiting stand edge water scan horizon tiny shipped waiting henry vanishes unwillingly warning waiting moment waiting feel eternal husband comedy moment moodmy baby born moment
27756,6,book,8589,24h,We booked our beach vacation for May of this year.,We booked our beach vacation for May of this year.,TRUE,1,NA,leisure,84,book beach vacation
27757,1,movie,237,24h,After a long time of waiting i finally got my tickets for my favourite movie released yesterday that too for a first day first show.It was really an awesome feeling still i could feel it all the way.I get goosebumps when i relive the moment in theatre.,After a long time of waiting i finally got my tickets for my favourite movie released yesterday that too for a first day first show.It was really an awesome feeling still i could feel it all the way.I get goosebumps when i relive the moment in theatre.,TRUE,1,NA,enjoy_the_moment,85,time waiting finally tickets favourite movie released day showit awesome feel feel wayi goosebumps relive moment theatre
